building_id,damage_grade
136232,2
214014,2
253233,3
344987,3
926185,1
278019,2
800464,2
329460,2
559021,1
204725,3
215139,3
617432,1
663794,2
233810,1
338530,2
573649,2
1030152,1
81028,1
1036556,3
651712,3
615358,3
398763,3
267205,2
969781,2
932920,2
9827,1
394005,3
346645,3
248188,1
769237,2
512498,1
893678,3
856023,1
975811,1
347986,1
402736,3
394792,1
668605,1
193595,1
858029,2
726502,2
837737,1
141395,3
308908,3
575119,1
828116,1
575640,3
633658,1
114207,2
298717,1
750855,2
169631,1
915431,2
871981,1
932120,2
985395,2
358734,2
258805,3
465348,3
281371,2
815414,2
993307,1
128549,1
881978,1
421704,2
630828,3
342798,3
884380,2
307099,1
443476,2
317482,1
353605,2
388797,1
707511,1
917534,1
531623,1
483192,3
131130,3
73731,2
188474,3
241994,2
479843,1
972589,3
767347,1
275356,1
860803,1
139112,1
242659,2
328304,1
568922,3
617498,1
1039793,2
620201,1
919960,3
484900,1
1046983,3
900387,1
483342,3
864325,3
35626,2
32936,3
611055,1
1013404,1
47844,3
720530,3
344019,1
148176,3
938992,3
311718,1
888086,2
471776,1
1018972,1
729191,3
522292,2
1000192,2
510603,2
35524,1
743172,3
7718,2
293998,3
371475,2
945889,1
203756,1
294258,2
352854,2
705224,1
548258,2
109603,1
787238,3
687964,2
449383,1
885227,1
396813,2
522301,1
117233,3
807983,3
31665,1
311164,2
510394,1
468580,1
892053,1
409516,1
213918,3
959912,2
1022606,1
1022126,1
94182,1
195414,3
123397,3
998681,3
1040287,3
92106,3
888702,2
1025912,1
613699,2
318535,2
636978,3
430398,3
228061,2
105441,3
832766,1
299669,2
294325,3
222210,3
87434,2
985090,3
721422,3
818016,2
20893,2
221806,2
425224,2
281440,2
396093,1
44347,3
479806,1
228063,1
24032,1
407817,1
619743,1
764552,2
892067,3
53749,3
347390,3
32705,1
277755,3
46246,2
749838,3
564445,3
727315,2
1011734,2
506049,2
684968,3
928091,2
49445,2
262432,1
660169,3
85478,3
272512,2
328790,1
654681,1
672831,1
428605,1
1009994,3
1005779,3
1030016,3
334496,2
690799,2
341325,3
381025,3
462204,2
251904,3
100847,3
511874,3
344223,3
374619,1
981722,3
597378,3
342920,1
229081,3
601876,1
691090,1
1045363,3
67966,1
230638,1
139514,2
431248,1
294488,3
181989,2
882435,1
589443,3
279335,2
106803,3
368401,3
725590,3
119113,2
827372,2
761467,3
290572,1
127543,1
536660,3
844247,2
446770,3
652109,2
24413,2
534960,3
4549,1
800484,2
178024,1
1048060,1
363612,1
821016,2
107181,1
67732,2
839074,3
417149,1
237124,1
335315,2
825751,1
525065,3
959623,3
79723,3
476463,3
713479,3
281558,3
40887,1
81679,3
674094,2
868628,3
948433,1
439958,1
642016,2
349277,3
617615,2
517289,1
554020,2
977692,2
18643,2
1002526,2
117710,2
614741,1
